id,slug,name,bank,reward_currency,ro_type,ro
rbl-popcorn,rbl-popcorn,RBL Bank Popcorn Credit Card,RBL,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
rbl-shoprite,rbl-shoprite,RBL ShopRite,RBL,reward-points,string,"""[{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Shopping Vouchers\"",\""partner\"":\""RBL Partner Merchants\"",\""value_per_point_inr\"":1}]"""
sbi-air-india-signature,sbi-air-india-signature,Air India SBI Signature,SBI,miles,string,"""[{\""type\"":\""Air India Miles\"",\""partner\"":\""Air India\"",\""value_per_point_inr\"":0.5},{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.4}]"""
sbi-bpcl-octane,sbi-bpcl-octane,SBI Card BPCL Octane,SBI,reward-points,string,"""[{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Air Miles Transfer\"",\""partner\"":\""Various Airlines\"",\""value_per_point_inr\"":1.5}]"""
178509f7-49ff-40d3-b489-0751952c3340,sbi-card-elite,SBI Card ELITE,SBI Card,points,array,"[""flights"", ""hotels"", ""statement credit""]"
fa351d00-437e-46a0-93bf-25da66495984,sbi-card-pulse,SBI Card PULSE,SBI Card,points,array,"[""flights"", ""statement credit""]"
sbi-cashback,sbi-cashback,SBI Cashback Credit Card,SBI,cashback,string,"""[{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
sbi-elite,sbi-elite,SBI ELITE,SBI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Transfer to airline partners\"",\""partner\"":\""Various\"",\""value_per_point_inr\"":1}]"""
8946848e-7a4a-4399-aef5-3634c2d95873,sbi-elite-advantage,SBI ELITE Advantage Credit Card,SBI Card,points,array,"[""flights"", ""hotels"", ""statement credit""]"
4b65b750-6fd7-48fc-a56c-20d1ba672e02,sbi-prime-business,SBI Card PRIME Business,SBI Card,points,array,"[""flights"", ""hotels"", ""statement credit""]"
sbi-simplyclick,sbi-simplyclick,SBI Card SimplyCLICK,SBI,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
2ad5cfa6-df54-4c23-99a8-72cd17b9f46f,sbi-simplysave,SBI SimplySAVE Credit Card,SBI Card,points,array,"[""statement credit""]"
sc-digismart,sc-digismart,Standard Chartered DigiSmart,SC,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Statement Credit\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
sc-smart,sc-smart,Standard Chartered Smart Credit Card,SC,cashback,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Statement credit\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Transfer to partner banks\"",\""partner\"":\""Standard Chartered partners\"",\""value_per_point_inr\"":1}]"""
sc-ultimate,sc-ultimate,Standard Chartered Ultimate,SC,reward-points,string,"""[{\""type\"":\""Travel redemption\"",\""partner\"":\""Various airlines and hotels\"",\""value_per_point_inr\"":1.5},{\""type\"":\""Cash back\"",\""partner\"":null,\""value_per_point_inr\"":1}]"""
cf9f7a63-40b7-4298-8dd4-623d7c610a6b,slice,Slice Credit Card,North East Small Finance Bank,points,array,"[""statement credit""]"
13bc1d6d-91a1-42ab-b867-baf1b49669bc,swiggy-hdfc,Swiggy HDFC Credit Card,HDFC Bank,points,array,"[""statement credit""]"
tata-neu-infinity-hdfc,tata-neu-infinity-hdfc,Tata Neu Infinity HDFC,HDFC,neucoins,string,"""[{\""type\"":\""Tata Neu ecosystem\"",\""partner\"":\""Tata Neu\"",\""value_per_point_inr\"":1},{\""type\"":\""Travel redemption\"",\""partner\"":\""HDFC Travel partners\"",\""value_per_point_inr\"":1.5},{\""type\"":\""Encashment\"",\""partner\"":null,\""value_per_point_inr\"":0.5}]"""
f4fe35b8-f0fa-4fc5-b84b-f5d174775d6f,tata-neu-infinity-rupay,TATA Neu Infinity RuPay Credit Card,HDFC Bank,points,array,"[""Tata Neu app""]"
tata-neu-plus-hdfc,tata-neu-plus-hdfc,Tata Neu Plus HDFC Bank,HDFC,neucoins,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.5},{\""type\"":\""Tata Neu Credits\"",\""partner\"":\""Tata Neu\"",\""value_per_point_inr\"":1}]"""
9129265b-7642-4d55-a5bb-5ef8fbf716de,uber-hdfc,Uber HDFC Bank Credit Card,HDFC Bank,points,array,"[""Uber app credits""]"
8ebc799b-3baf-408a-a6e0-8de06b45a9c6,union-bank-platinum,Union Bank of India Platinum Credit Card,Union Bank of India,points,array,"[""vouchers""]"
083f5fac-8dc8-4abf-bd45-8e4621e900ac,yatra-sbi,Yatra SBI Credit Card,SBI Card,points,array,"[""Yatra bookings""]"
43e086ad-1910-446d-9893-7de4a59df0f2,yes-bank-first-business,YES Bank FIRST Business Credit Card,YES Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
6af1f538-2d54-4350-b998-e9887c2f10b3,yes-bank-marquee,YES Bank Marquee Credit Card,YES Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
d1991d80-86dd-4692-a084-41e0499af41e,yes-bank-select,YES Bank SELECT Credit Card,YES Bank,points,array,"[""flights"", ""hotels"", ""cashback""]"
yes-first-preferred,yes-first-preferred,YES FIRST Preferred Credit Card,Yes,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":1},{\""type\"":\""Travel Redemption\"",\""partner\"":\""Multiple Airlines\"",\""value_per_point_inr\"":1.2}]"""
yes-marquee,yes-marquee,YES Bank Marquee,Yes,reward-points,string,"""[{\""type\"":\""Cashback\"",\""partner\"":null,\""value_per_point_inr\"":0.4},{\""type\"":\""Travel Redemption\"",\""partner\"":\""Multiple Airlines\"",\""value_per_point_inr\"":1}]"""
d8959cab-ff59-4c7d-8287-b29631858f80,zomato-axis,Zomato Axis Bank Credit Card,Axis Bank,points,array,"[""Zomato credits""]"
